PresentationID|Seq|Year|Source|First Name|Middle|Last Name|Organization|City|State|Country|Email|CoAuthor
5659857|1|10/16/2009|Medmeme|M.E.A.||Abdalsalam|Department of Clinical Pathology & Immunology, Institute of Endemic Diseases, University of Khartoum|||Sudan||Khalil_E.A.G.
14177953|1|06/19/2015|Medmeme|N.||Abdelkafi|Hôpital Sahloul|Sousse||Switzerland||Jemni_S.:Frioui_S.:Wannes_W.:Moncer_R.:Bel Haj Youssef_I.:Frigui_S.:Zaoui_A.:Khachnaoui_F.
14177690|1|06/19/2015|Medmeme|M.||Abolhasani|Tehran University Of Medical Sciences|Tehran||||Hosseini_S.:Rajabi_H.:Sahraian_M. A.:Mehri_K.:Moradi_M.
14174116|1|04/30/2015|Medmeme|Khaldoon||Abudaqqa||Markgroningen||||Buchin-Emunds_P.:Schall_H.:Krebs_S.:Schatz_C.R.
14172931|1|07/05/2015|Medmeme|David||Ackerley|Victoria University of Wellington|||||
14174980|1|06/29/2015|Medmeme|Gbenga A||Adefolaju|University of Limpopo|||South Africa||Thabethe_Kutlwano R:Hosie_Margot J
14177621|1|06/19/2015|Medmeme|B.||Adeyemo|Emory University|Atlanta||Switzerland||Andriotakis_J.:Adeyemo_A.:Iroro_A.:Siao_P.
14177706|1|06/19/2015|Medmeme|B.||Adeyemo|Emory University|Atlanta, GA||United States||Wililams_C.
14177272|1|06/19/2015|Medmeme|B.||Adeyemo|Emory University|||||Wilcots_G.
14170026|1|04/04/2014|Medmeme|Sabrina||Adkins||||||Wolfe_George
14170314|1|03/25/2015|Medmeme|Sumita||Agarkar|Medical Research Foundation, Sankara Nethralaya 18, College Road|Nungambakkam, Chennai, Tamilnadu||India||Desai_Roshni
14169631|1|06/11/2015|Medmeme|A||Ahamad|Century 21|||United States||Salenius_S:Paucar_E:Ross_R:Fernandez_E
14169698|1|12/26/2014|Medmeme|Nadeem||Ahmed|Combined Military Hospital Attock|||||Ahmed Ansari_Moin:Rehman_Razaur
14172262|1|09/17/2014|Medmeme|Sadiyya||Ahmed-Hassen|Department of Pharmacy and Pharmacology, School of Therapeutic Sciences, University of Witwatersrand|||||Miot_Jacqui:Moch_Shirra
14177909|1|06/19/2015|Medmeme|A.||Al Khayer|Al-Ahli Hospital|Doha||Switzerland||Anwar_F.:Weir_A.
14178361|1|06/19/2015|Medmeme|K.||Alabbadi||Amman||Jordan||
14173013|1|07/02/2015|Medmeme|Aiste||Aleliunaite|Department of Cellular and Molecular Medicine, University of Copenhagen|||||Minocherhomji_Sheroy:Hickson_Ian D.
14170391|1|03/25/2015|Medmeme|Shatha H||Alfreihi|UCLA|Los Angeles, CA||||Pineles_Stacy:McCannel_Tara:McCannel_Colin:Glasgow_Ben:Velez_Federico
14177968|1|06/19/2015|Medmeme|O. J.||Alí Morell|Fundación Purísima Concepción|||||Zurita Ortega_F.:Fernández Estévez_B.:Padilla Obispo_B.:Martínez Porcel_R.
14177697|1|06/19/2015|Medmeme|F.||Alibrahim|King Saud University|Riyadh, SA||||
14173688|1|12/04/2014|Medmeme|Elham||Alizadeh Pasdar|School of Medical Science, Griffith University|Southport||Australia||Smits_Michael:Zobalova_Renata:Dong_Lan-Feng:Neuzil_Jiri
14177766|1|06/19/2015|Medmeme|E.||Allart|Lille University Hospital|Lille||France||Benoit_A.:Blanchard-Dauphin_A.:Tiffreau_V.:Thevenon_A.:Zéphir_H.:Outteryck_O.:Lacour_A.:Vermersch_P.
14177792|1|06/19/2015|Medmeme|E.||Allart|Lille University Hospital|Lille||France||Benoit_A.:Thevenon_A.:Tiffreau_V.:Vermersch_P.:Blanchard-Dauphin_A.
14173875|1|04/20/2015|Medmeme|Ana||Allende|CSIC|Murcia||Spain||
14169922|1|05/14/2014|Medmeme|Jacob||Al-Saleem|Department of Veterinary Biosciences, The Ohio State University|||||Green_Patrick L.
14172919|1|07/05/2015|Medmeme|Eliz||Amar-Lewis|Department of Chemical Engineering, Ben-Gurion University of the Negev|Beer-Sheva, 84105||Israel||Chintakunta_Ramesh:Cohen_Limor:Goldbart_Riki:Traitel_Tamar:Gheber_Levi A.:Kost_Joseph
14173220|1|05/19/2014|Medmeme|Ruchi||Amin|Wayne State University School of Medicine|||||Celeste Simon_M.
14173238|1|05/19/2014|Medmeme|Katie L.||Anderson|HHMI-BWF, University of Minnesota College of Veterinary Medicine|||||Modiano_Jaime:Mescher_Matthew
14178346|1|06/19/2015|Medmeme|M.||Anđic|Institute for Rehabilitation|Belgrade, RS||||Spiroski_D.:Ilic Stojanovic_O.:Vidakovic_T.:Burazor_I.:Lazovic_M.
14172655|1|07/17/2015|Medmeme|Sandra||Andorf|Sean N. Parker Center for Allergy Research at Stanford University, Stanford University School of Medicine, Lucile Packard Children's Hospital, Stanford Hospital and Clinics|||United States||Ryan_John F.:Graham_Michelle T.:Medina_Carlos O.:Nygaard_Unni C.:Nadeau_Kari C.
